reply_uri,reply_cid,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did,original_post_uri,original_post_text
at://did:plc:lv5npoevwonquujmlldey5xb/app.bsky.feed.post/3l52qylho2u2p,bafyreiamfwmlya25asjpo4gon5lcllq2hhmbwo6uftjwrntmp3kcncm6n4,"Nossa!!!!
Quanta asneira!!!
Se continuar assim, vai merecer carteirinha de maluca.",2024-09-26T13:30:13.874Z,0,0,0,2024-09-26T13:30:13.874Z,lexotan10.bsky.social,MatildeM ,did:plc:lv5npoevwonquujmlldey5xb,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4lvymlkgs2b,"Não adianta dizer que defende a educação e, no fundo, defender sindicato! O que importa, a meta que realmente precisa ser alcançada: a educação do seu filho. Saber que a escola é um lugar de educação e não doutrinação."
at://did:plc:fl3ivy44s5aynrpqp4q7ra5v/app.bsky.feed.post/3l4m32mfdac2s,bafyreibn6zx4mynurkmnpqjedkkkrh5epqvf57jmzyz2lhrjjhtsxijsly,Sem neurônios,2024-09-20T17:23:44.605Z,0,0,3,2024-09-20T17:20:24.015Z,marciabezerra2024.bsky.social,Marcia Bezerra,did:plc:fl3ivy44s5aynrpqp4q7ra5v,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4lvymlkgs2b,"Não adianta dizer que defende a educação e, no fundo, defender sindicato! O que importa, a meta que realmente precisa ser alcançada: a educação do seu filho. Saber que a escola é um lugar de educação e não doutrinação."
at://did:plc:eiqnyw4ajdikdhzmulcxkxfm/app.bsky.feed.post/3l4lzoy4xqs22,bafyreiac6bcmd7x2mkksmwjf5vvm4atdumvu7rtpihxprtqtddnxqcsheq,Maluca,2024-09-20T16:55:58.289Z,0,0,4,2024-09-20T16:55:58.289Z,isabelhab.bsky.social,Chef do refeitório do Instituto Banana Preta,did:plc:eiqnyw4ajdikdhzmulcxkxfm,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4lvymlkgs2b,"Não adianta dizer que defende a educação e, no fundo, defender sindicato! O que importa, a meta que realmente precisa ser alcançada: a educação do seu filho. Saber que a escola é um lugar de educação e não doutrinação."
at://did:plc:7h2et54jmka7ezhh5rqnivlo/app.bsky.feed.post/3l4mdhpn3ds2e,bafyreihx7zjquwt6vwvdus4a62dsjay5gufx5s2tclsuuz6p4akdbeprd4,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,2024-09-20T19:50:48.496Z,0,0,2,2024-09-20T19:50:48.496Z,cabanadoleitor.bsky.social,Cabana do Leitor,did:plc:7h2et54jmka7ezhh5rqnivlo,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4lvymlkgs2b,"Não adianta dizer que defende a educação e, no fundo, defender sindicato! O que importa, a meta que realmente precisa ser alcançada: a educação do seu filho. Saber que a escola é um lugar de educação e não doutrinação."
at://did:plc:ystfxcvvwsze6kkv33xh6gzq/app.bsky.feed.post/3l4mqnptl7u23,bafyreiamn4k4fbwaggxdcorqscpu4leu7ehcm4jscpadc3fsktlrlonf44,"@marinahelenabr.com.br Você foi ótima no Debate, você sim demonstrou proatividade com relação a São Paulo. Ficou visível que você é a única candidata mais bem preparada para ser Prefeita de São Paulo. #MarinaPrefeita30",2024-09-20T23:46:48.869Z,0,0,0,2024-09-20T23:46:48.869Z,joao222.bsky.social,João Vitor ,did:plc:ystfxcvvwsze6kkv33xh6gzq,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ltbzp6qk24,"Boulos diz que haverá relação de respeito com a GCM. Piada!

Apoia saidinha de presos

Apoia o maior ladrão de todos 

Foi em um desfile de escola de samba onde os policiais estavam vestidos de “demônios” 

O paulistano não é bobo e nossa cidade NÃO FICARÁ NAS MÃOS DE QUEM APOIA BANDIDO!

#DebateSBT"
at://did:plc:vrjbnswsxflgf7iwhr6wixcl/app.bsky.feed.post/3l4lth3krc62r,bafyreie3dbgn2ma6v2dtqvoeox3ybjyqvyar6qq4wltzi57wwwra3i5jxm,Vc é deprimente Marina!,2024-09-20T15:04:12.468Z,0,0,2,2024-09-20T15:04:12.468Z,bonolibia.bsky.social,Bia Bonoli Ψ,did:plc:vrjbnswsxflgf7iwhr6wixcl,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ltbzp6qk24,"Boulos diz que haverá relação de respeito com a GCM. Piada!

Apoia saidinha de presos

Apoia o maior ladrão de todos 

Foi em um desfile de escola de samba onde os policiais estavam vestidos de “demônios” 

O paulistano não é bobo e nossa cidade NÃO FICARÁ NAS MÃOS DE QUEM APOIA BANDIDO!

#DebateSBT"
at://did:plc:uwveuxmaoov6evla3zc3czj6/app.bsky.feed.post/3l4ltdqi4ik26,bafyreiezk3jyyk4bh62wilgg7vdmuevwbow5oasxzwt5hc5jw4wmvhbjgy,"piada é sua participação no debate, minha senhora. 
que tal fazer propostas concretas ao invés de só ficar falando ""e o pt, hein?""",2024-09-20T15:02:19.729Z,0,0,6,2024-09-20T15:02:19.729Z,itsevan.bsky.social,namorado da val pereira,did:plc:uwveuxmaoov6evla3zc3czj6,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ltbzp6qk24,"Boulos diz que haverá relação de respeito com a GCM. Piada!

Apoia saidinha de presos

Apoia o maior ladrão de todos 

Foi em um desfile de escola de samba onde os policiais estavam vestidos de “demônios” 

O paulistano não é bobo e nossa cidade NÃO FICARÁ NAS MÃOS DE QUEM APOIA BANDIDO!

#DebateSBT"
at://did:plc:t5hmxlvnqme3tbtwbflieks4/app.bsky.feed.post/3l4lte6waid2n,bafyreih4y2hajoa4oih6yxryoysw256egit7j4hktjzspa53h2h5j3o73e,"Tá bom, Alexa",2024-09-20T15:02:32.718Z,0,0,0,2024-09-20T15:02:32.718Z,pedrobala25.bsky.social,,did:plc:t5hmxlvnqme3tbtwbflieks4,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ltbzp6qk24,"Boulos diz que haverá relação de respeito com a GCM. Piada!

Apoia saidinha de presos

Apoia o maior ladrão de todos 

Foi em um desfile de escola de samba onde os policiais estavam vestidos de “demônios” 

O paulistano não é bobo e nossa cidade NÃO FICARÁ NAS MÃOS DE QUEM APOIA BANDIDO!

#DebateSBT"
at://did:plc:s76yv4fejgleqqgihvz2ketu/app.bsky.feed.post/3l4lui3fdqc27,bafyreicw52lx6etez5pbfukwwojch3tvccxmc7ycpzyws6mighnirzwex4,Seu lugar é no twitter,2024-09-20T15:22:34.090Z,0,0,0,2024-09-20T15:22:34.090Z,gabrielvframos.bsky.social,,did:plc:s76yv4fejgleqqgihvz2ketu,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ltbzp6qk24,"Boulos diz que haverá relação de respeito com a GCM. Piada!

Apoia saidinha de presos

Apoia o maior ladrão de todos 

Foi em um desfile de escola de samba onde os policiais estavam vestidos de “demônios” 

O paulistano não é bobo e nossa cidade NÃO FICARÁ NAS MÃOS DE QUEM APOIA BANDIDO!

#DebateSBT"
at://did:plc:odoqon7u6w3julsncp4ttskc/app.bsky.feed.post/3l4lu5jrac22n,bafyreig7pjtrvpvt7n4o63ph7g2nteudrklrhckepejjaljaxcpbtsbgcu,"GRAÇAS A DEUS QUE A CHANCE DESSA MARINA VENCER É BEM DIZER ZERO.
www.metropoles.com/colunas/igor...",2024-09-20T15:16:45.715Z,0,0,1,2024-09-20T15:16:45.714Z,rooliveira7.bsky.social,Ronaldo,did:plc:odoqon7u6w3julsncp4ttskc,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ltbzp6qk24,"Boulos diz que haverá relação de respeito com a GCM. Piada!

Apoia saidinha de presos

Apoia o maior ladrão de todos 

Foi em um desfile de escola de samba onde os policiais estavam vestidos de “demônios” 

O paulistano não é bobo e nossa cidade NÃO FICARÁ NAS MÃOS DE QUEM APOIA BANDIDO!

#DebateSBT"
at://did:plc:odoqon7u6w3julsncp4ttskc/app.bsky.feed.post/3l4lu3xsg6k2c,bafyreih7tmcwsaxvtbee6xhwoi4ylzpjybqdxk4bvnwnmxffkmzvxbvul4,"@flaviodino.bsky.social 
www.metropoles.com/colunas/igor...",2024-09-20T15:15:53.324Z,0,0,0,2024-09-20T15:15:53.324Z,rooliveira7.bsky.social,Ronaldo,did:plc:odoqon7u6w3julsncp4ttskc,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ltbzp6qk24,"Boulos diz que haverá relação de respeito com a GCM. Piada!

Apoia saidinha de presos

Apoia o maior ladrão de todos 

Foi em um desfile de escola de samba onde os policiais estavam vestidos de “demônios” 

O paulistano não é bobo e nossa cidade NÃO FICARÁ NAS MÃOS DE QUEM APOIA BANDIDO!

#DebateSBT"
