reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:kotaicute2tslxl62jau35d3/app.bsky.feed.post/3l4cz7c2jeh2u,bafyreialbmwpporgpbuwyyogsdhefavwf5xqj7ybsrtpx5o6yhodnuls5e,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4cygd6xm525,"Enquanto uns evitam e fogem do diálogo, estamos aqui, apresentando propostas e enfrentando os desafios da nossa cidade com coragem e transparência.

👀 Ainda não está assistindo? Corre no link www.youtube.com/watch?v=FpKK...",A melhor!,2024-09-17T02:53:14.983Z,1,0,1,2024-09-17T02:53:14.983Z,giugiutadini.bsky.social,Giulia Tadini,did:plc:kotaicute2tslxl62jau35d3
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4bfxr6bnp2r,bafyreidjswzebcsybsqrhumtk5crr3irthytakiscmbvmzyppgdzbhnfpi,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4bfvfqsz52m,"Enquanto o atual prefeito gasta com asfalto sem consultar a população, nós vamos devolver a decisão para as pessoas! Com o Orçamento Participativo, as prioridades de Vitória serão definidas de forma democrática e transparente!

▶️ Assista ao vídeo e me conte o que achou da nossa proposta!","👉🏾 Quer saber mais sobre nosso plano de governo? Siga o nosso novo perfil @prefeitacamila50 no Instagram e fique por dentro de todo programa de governo!

#CamilaValadãoPrefeita #Eleições2024 #OrçamentoParticipativo #Vote50",2024-09-16T11:36:21.246Z,0,0,1,2024-09-16T11:36:21.246Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l47hpbryh72j,bafyreibrogbx2bpt4fo7eindzfmyk7gch35ekyznsynqlaxg4e5q35qggy,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l47hovwe4h2q,"🔆 Domingo de feira, afeto, apoio e muita conversa boa na Gurigica! Hoje nosso time caminhou pela feira, recebemos carinho e trocamos ideias com várias pessoas que acreditam que Vitória pode muito mais!","Cada sorriso e abraço nos dá ainda mais força para seguir em frente com nosso projeto. Com vocês, a esperança cresce a cada dia! Vamos juntos transformar nossa cidade!",2024-09-15T17:02:04.390Z,0,0,2,2024-09-15T17:02:04.390Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l44wqvtgyf25,bafyreien2ijbwvtkooushv66vbhzgqoc4ncudlyhih2r2jpkz663u54xqm,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l44wpzj6p22g,"Sábado é dia de feira e de campanha nas ruas! Hoje estivemos na Feira de Jardim da Penha com o nosso vice, Macaciel Breda, e das nossas candidatas e candidatos a vereador, conversando com moradores e comerciantes.","Seguimos firmes nas ruas, apresentando nossas propostas e pedindo voto 50 para construir uma Vitória que cuida, dialoga e transforma!",2024-09-14T16:53:28.558Z,0,0,1,2024-09-14T16:53:27.716Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:5hpbnurjydnjkvurtn73wxau/app.bsky.feed.post/3l44juo3kk722,bafyreifzfaggnnx5vuuo2ha3452i3avglqcahtjxbf74iia4kowxx3ghdu,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l44icn3omm2j,"#SABADOU! ✨ Mas em clima de campanha! Já estamos batendo perna pelas ruas de Vitória para dialogar com vocês sobre a nossa campanha! 

Não, a gente não para e não cansa! 🤣

Por aqui, todo mundo já sabe! Dia 6 de outubro é dia de apertar 50 CAMILA PREFEITA!",Bom dia. Gostaria de saber sobre concursos na sua gestão como Prefeita da capital. Previsão de concursos em quais áreas e em quanto tempo.,2024-09-14T13:02:53.360Z,0,0,0,2024-09-14T13:02:53.360Z,anneconcurseira.bsky.social,Anne,did:plc:5hpbnurjydnjkvurtn73wxau
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3yckfyxly2r,bafyreih5erlsxar4awy27kg273s3dbngbqeu6o6kv6tbw7indtckk5mtni,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3ycjdamqh27,"Mais um dia de campanha nas ruas! Hoje, conversamos e recebemos apoio de moradores e comerciantes da Praia do Canto e Jardim da Penha, lado a lado com nossas candidatas a vereadoras!

A energia nas ruas nos mostra que estamos no caminho certo para construir uma Vitória melhor para todas as pessoas 💜",👉🏽 Quer fazer parte dessa mudança? Compartilhe nossas propostas com quem você conhece!,2024-09-12T20:41:15.634Z,0,0,2,2024-09-12T20:41:15.634Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3sqkfiwxl2x,bafyreifqewjixb5g73bbmaxntdhzyp6mui5bvdkyujojkhdaiwiwqn44ii,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3sqist6ks2y,"Para construir uma Vitória que pode muito mais, organizamos nosso plano de governo em três eixos fundamentais:

1️⃣ Vitória Sem Medo
2️⃣ Vitória das Oportunidades
3️⃣ Vitória dos Direitos

👉🏾 Role e descubra como vamos construir uma cidade mais inclusiva, com oportunidades para todas as pessoas!",Confira o nosso Plano de Governo completo pelo link: bit.ly/4cXbQ6v,2024-09-10T15:35:48.829Z,0,1,3,2024-09-10T15:35:48.829Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3prvgslnc2e,bafyreihewx7bxmknswf4agi6d5r4nkfubxh3nc7zz5csvqokb2rourhr5e,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3prugi64q25,"#NaMidia | 🫂GENTE! Essa foi a palavra que eu mais usei durante a sabatina de A Gazeta e CBN, segundo o levantamento feito pela Rede Gazeta.

Foram 71 vezes falando sobre a ""GENTE"", 63 citações de ""CIDADE"", e 52 vezes mencionando ""VITÓRIA""!","🔆 Essas palavras refletem nosso foco em colocar as pessoas no centro de tudo. Nossa campanha é sobre gente, sobre Vitória e sobre trazer novos sonhos de uma cidade muito melhor para todas as pessoas! 

🔗Confira a matéria completa aqui: www.agazeta.com.br/es/politica/...",2024-09-09T11:21:53.827Z,0,0,0,2024-09-09T11:21:53.827Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3j6j6hcbd2e,bafyreib6abkwolmokwozu5yrt7x4yuwy44nyhg24t3mzuk3cls5iklnxma,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3j6iodlrg24,"☀️ Nossa campanha é coletiva e cada contribuição faz a diferença!

Cada doação nos ajuda a comprar e distribuir materiais que levam nossas propostas para ainda mais pessoas por toda Vitória.","✊🏾 A força da nossa campanha vem de quem acredita que Vitória pode muito mais!

➡️ Faça parte! Contribua na nossa vaquinha por aqui: doa.la/doacao/camil...",2024-09-06T20:19:02.881Z,0,0,0,2024-09-06T20:19:02.881Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3ixgzlj572z,bafyreiart4krfsg7puhodwnrggcs63fhruv5oawhb6iwdfoheh7s26z7ne,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3ixgpagoq2p,"🔆 COMEÇAMOS O DIA COM TUDO! Estivemos em Nova Palestina, panfletando e caminhando pelo comércio do bairro, junto com nossos candidatos e candidatas a vereadores, nosso vice Macaciel Breda e a presidenta nacional do PSOL, Paula Coradi

#CamilaValadãoPrefeita #Eleições2024
#CamilaValadaoPrefeita","Seguimos ouvindo a população, apresentando nossas propostas e assumindo o compromisso por uma Vitória mais próspera e acolhedora para todas as pessoas.

Quem vem com a gente? 🤩",2024-09-06T18:12:34.418Z,0,0,0,2024-09-06T18:12:34.418Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3gayr72li2v,bafyreif2loy6xmd6mir7ea76vuf4lh63qtensw5b5cbnvaqi5oczefpwvu,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l3gayeuwaf2x,"🎉 O ANIVERSÁRIO de VITÓRIA está chegando e preparamos uma comemoração especial!! 

🚐 Vamos lançar o nosso KOMBITÊ! Um comitê itinerante que vai circular pela cidade, levando nossas propostas e muita energia boa!","Venha aproveitar a manhã com a gente, celebrar nossa cidade e conhecer de perto a Kombi mais bonita da cidade! 🚐💛

Anota na agenda!",2024-09-05T16:25:34.079Z,0,0,0,2024-09-05T16:25:34.079Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
