uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:bjv24razwx75twzvibaqhpqe/app.bsky.feed.post/3ktf6nus3qe26,bafyreictcdctowxx77w3ic2zbx4azmv3viogqb3mrpc5hwivelxyc5mzwq,"www.cartacapital.com.br/politica/nao...
Eu vejo a Tábata Amaral como uma pessoa muito falsa e sem caráter nenhum, vou dizer uma coisa isentão tem vida curta na política, não votem em candidatos que ficam em cima do muro.",2024-05-26T10:49:27.843Z,0,1,1,paulguimaraes.bsky.social,Paulo Guimarães 🚩🇧🇷🦋,https://cdn.bsky.app/img/avatar/plain/did:plc:bjv24razwx75twzvibaqhpqe/bafkreictfsecsh7wbleplo6c6yiw3vndc4zznghr5nmcmbqnjn43673a7q@jpeg,did:plc:bjv24razwx75twzvibaqhpqe
at://did:plc:bjv24razwx75twzvibaqhpqe/app.bsky.feed.post/3ktez4cdgtk2b,bafyreidna6bk3lmte6c2pgiecnzdsuvojsp3w44ewjx2aof4cffttvtvdq,Quem é Tábata Amaral? Eu não conheço e vcs conhecem?,2024-05-26T09:10:08.519Z,0,0,2,paulguimaraes.bsky.social,Paulo Guimarães 🚩🇧🇷🦋,https://cdn.bsky.app/img/avatar/plain/did:plc:bjv24razwx75twzvibaqhpqe/bafkreictfsecsh7wbleplo6c6yiw3vndc4zznghr5nmcmbqnjn43673a7q@jpeg,did:plc:bjv24razwx75twzvibaqhpqe
at://did:plc:b76epa6iw7l63j6c4m43wpfr/app.bsky.feed.post/3kte24wccot2h,bafyreieqxvb43bsxcdug222shiornez6a7rfjtcy7rlfe2zkoq4zheghvu,"田端文士村記念館
友情から生まれたもの　文士村の青春アンサンブル

2024年6月8日（土）～2024年9月21日（土） ※休館日を除く
kitabunka.or.jp/tabata/news/...",2024-05-25T23:55:44.755Z,0,1,3,bungakureport.bsky.social,文学通信,https://cdn.bsky.app/img/avatar/plain/did:plc:b76epa6iw7l63j6c4m43wpfr/bafkreiarl7jccfk2qc4mzrocvtxsa3utc6vr64kwj6tsfak5bvy4ayapby@jpeg,did:plc:b76epa6iw7l63j6c4m43wpfr
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3ktdsaif2is2s,bafyreicmzsuczf2na64pdci4gyvydx3xdotqjg235meselpitft5ctrgi4,"🚀 Mangá na Amazon

📖 Black Clover - 34 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 34,90 por R$ 24,43
📈 30% de desconto 😮

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-25T18:34:34-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:jzqijbrsfnpvtzg5tyh5duwm/app.bsky.feed.post/3ktdewkfurw2k,bafyreids2xzcqbnyn3xquyxkrfcrlxfikta6apz56bgfayhsdiquyvim6q,Tai!modelo MST sim ser modelo Camilo e Jorge Lemonn Tabata Amaral ñsó terremos empreendedor de sim ou escola militar formando milica.Ñ vejo governo controlando e pauta escolar visse companheiros  @lulaoficial.bsky.social @gleisi.bsky.social  @pimenta13br.bsky.social www.brasil247.com/brasil/o-bra...,2024-05-25T17:36:24.045Z,0,1,6,jacksontome.bsky.social,Jackson Lula Tomé ,https://cdn.bsky.app/img/avatar/plain/did:plc:jzqijbrsfnpvtzg5tyh5duwm/bafkreibosu7j6yoeapadloxmiagfyshrc5bxl4c3phye3diwsb7cps5cuy@jpeg,did:plc:jzqijbrsfnpvtzg5tyh5duwm
at://did:plc:jzqijbrsfnpvtzg5tyh5duwm/app.bsky.feed.post/3ktdec34q2k2i,bafyreiguqkm6h3bhl4y7u62gq2z3y2axcticad6442wfqkno5fa2gpkjla,"Tai! Esta esquerda formada pauta indenitária, pensa só em si, e, ai não e mas esquerda ne! E EUA e seus Grupos de investimentos como formador de ONGs formara Tabata Amaral ,que se dis nacional, mas ler cartilha d e Miami. Se não perde os Dólar como acontece Russia e Venezuela. x.com/joaquimmonst...",2024-05-25T17:24:56.951Z,0,0,2,jacksontome.bsky.social,Jackson Lula Tomé ,https://cdn.bsky.app/img/avatar/plain/did:plc:jzqijbrsfnpvtzg5tyh5duwm/bafkreibosu7j6yoeapadloxmiagfyshrc5bxl4c3phye3diwsb7cps5cuy@jpeg,did:plc:jzqijbrsfnpvtzg5tyh5duwm
at://did:plc:bjv24razwx75twzvibaqhpqe/app.bsky.feed.post/3ktcxj3s7bd2p,bafyreietqmu5ensc7evwvq2isjpv266mt55njafbtvovml4v4a4vwk33cu,"Se a esquerda se unir isso vai enfraquecer a direita, em São Paulo as candidaturas da Tábata e do Altino Jr são muito desnecessárias, somente o Boulos de candidato de esquerda a prefeitura de SP já bastava",2024-05-25T13:36:11.548Z,0,0,0,paulguimaraes.bsky.social,Paulo Guimarães 🚩🇧🇷🦋,https://cdn.bsky.app/img/avatar/plain/did:plc:bjv24razwx75twzvibaqhpqe/bafkreictfsecsh7wbleplo6c6yiw3vndc4zznghr5nmcmbqnjn43673a7q@jpeg,did:plc:bjv24razwx75twzvibaqhpqe
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3ktbcqhll3c2z,bafyreiepjorzz3zo7h6ot462tazfyzeti2g434yazd2caunuwpc7gktjae,"🚀 Mangá na Amazon

📖 Black Clover - 19 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 29,90 por R$ 23,86
📈 20% de desconto

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-24T18:51:50-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3ktbbaqri3s27,bafyreidvpv63bp66ncl67awghfexyxz2vcrnl5syegynvrmnzbtpdyfm7m,"🚀 Mangá na Amazon

📖 Black Clover - 5 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 34,90 por R$ 18,03
📈 48% de desconto 🤩

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-24T18:25:09-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3ktanknyils2p,bafyreig2oc3itslhwkwjgnt6yd2mt3xnyflxzm4f637ywdtg636hgyi7v4,"🚀 Mangá na Amazon

📖 Black Clover - 32 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 33,90 por R$ 23,73
📈 30% de desconto 😮

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-24T12:32:47-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3kt7ebwlmxk2m,bafyreid5nqtn3aooaltcxyfqp5qzhlrwdgtpm3xgqmmqo5nrzhlqmbhtri,"🚀 Mangá na Amazon

📖 Black Clover - 5 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 34,90 por R$ 14,99
📈 57% de desconto 🥵

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-24T00:14:06-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:zajkn7ywcssed632unkfpniz/app.bsky.feed.post/3kt6b55nmfs2h,bafyreibn3fyw3ava7r6s4dd5mjlcj3dpzdwidtb2q3g74jbtagwxcprr74,"E sabe, a Tábata é uma adversária política que em certa medida eu respeito e considero saudável pra democracia, mas aí aparece doido dizendo que eu NÃO POSSO considerá-lá adversária.",2024-05-23T16:45:09.887Z,0,0,0,fracassio.bsky.social,fracassio,https://cdn.bsky.app/img/avatar/plain/did:plc:zajkn7ywcssed632unkfpniz/bafkreiawj6fbhry4bnhznxzko3fvalgpe3cpmgvnjzypy46lraghuf5gaa@jpeg,did:plc:zajkn7ywcssed632unkfpniz
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3kt4wjwygws2o,bafyreicw6upf4g5ux5eggdp7prbhwx5k2vh64v6hn5r7umhfszyrgpbf4u,"🚀 Mangá na Amazon

📖 Black Clover - 25 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 33,90 por R$ 23,10
📈 32% de desconto 😮

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-23T01:02:48-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:e4t55vltvbpvrphphwcq5r44/app.bsky.feed.post/3kt4l2lz2ih25,bafyreie5urhkdwdmiho6fhdvwwugqnnbozlncr4cwps44qbxpqrletbeie,Tabata picareta !,2024-05-23T00:37:22.781Z,0,0,0,roberto1501.bsky.social,Roberto Peres ,https://cdn.bsky.app/img/avatar/plain/did:plc:e4t55vltvbpvrphphwcq5r44/bafkreicbzt47nyrb2bhwdpxmmmvvpnluluu27lh2ewankwv2m3kj7tcdvi@jpeg,did:plc:e4t55vltvbpvrphphwcq5r44
