reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:z74hfxrn5qdrrkjlijov75c7/app.bsky.feed.post/3l36qgcwbsb2m,bafyreihdbg7hz5u6yvw7izutmmt4xvo3qxmxqgpm6gs4jbxcuixwejpcvi,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo",É um bem que você faz e ainda vai liberar espaço no celular,2024-09-02T16:40:17.140Z,0,0,0,2024-09-02T16:40:17.140Z,mailsontrevisan.bsky.social,〽️ailson Tre♈️isan ,did:plc:z74hfxrn5qdrrkjlijov75c7
at://did:plc:xeew7b3jqqktkv6be3kokshr/app.bsky.feed.post/3l36wu2vi3r24,bafyreigotgro5uhjbqrpw63jmsl4c7fkzrq2wdc7qxehslkazxorulmrqe,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo",Fiz isso e privei o perfil,2024-09-02T18:35:21.348Z,0,0,0,2024-09-02T18:35:21.114Z,sutjesca.bsky.social,Isleivis 🐼🌈,did:plc:xeew7b3jqqktkv6be3kokshr
at://did:plc:viq72wfb7wh2q652yy4qbzpf/app.bsky.feed.post/3l36qi6inx323,bafyreiauy5lwsbyxadcbscabnifb3fck3hdeexic7yrbe6pvr45zygqu3i,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo","Espera voltar pra deletar a conta antes, deputada.
Pode acabar alguém roubando ela, aquilo lá é terra de ninguém agora.",2024-09-02T16:41:20.361Z,0,0,1,2024-09-02T16:41:19.824Z,georgeafg.bsky.social,George A.,did:plc:viq72wfb7wh2q652yy4qbzpf
at://did:plc:os2cnu7x7ui6l7ufzg3nik7u/app.bsky.feed.post/3l36s6ctp732o,bafyreicjdxjxn7i2lthe7plugguozkjdqu4rhyzdgyjul5vdgytguaeybq,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo","Mulher, lá tá só o chernobyl",2024-09-02T17:11:35.728Z,0,0,2,2024-09-02T17:11:35.728Z,heloflor.bsky.social,helô ✨️,did:plc:os2cnu7x7ui6l7ufzg3nik7u
at://did:plc:ohzgs7h6ywmyqmyi7lato4bm/app.bsky.feed.post/3l36qszmzw72a,bafyreifmphwinr3qyfg43daedfiudf3b2pdrcs4zxboefcl2xp6hbccene,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo",Ja deletei aquele lixo radioativo,2024-09-02T16:47:23.307Z,0,0,1,2024-09-02T16:47:23.307Z,gary13006.bsky.social,Gary,did:plc:ohzgs7h6ywmyqmyi7lato4bm
at://did:plc:ob4okyk52cup2uonqqt4lxj3/app.bsky.feed.post/3l36qnipdws2m,bafyreibadvo4vzui6kxlpehhx54kjvp2h3hbxgrdmkwhuqh7n74ir22wre,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo",Boa tarde … fique de olho 🥂,2024-09-02T16:44:18.033Z,0,0,1,2024-09-02T16:44:18.033Z,garcialealsp.bsky.social,Antonio Garcia Leal,did:plc:ob4okyk52cup2uonqqt4lxj3
at://did:plc:nwhnwjsjvjdxtoxkregxmehk/app.bsky.feed.post/3l36qqwfv3x2z,bafyreig5ol2sfg7ligfovnlvyjgppu3cw4gprqwdqh3trdd7yt7f7vfmnq,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo","Como você consegue entrar, Natália?",2024-09-02T16:46:10.893Z,2,0,1,2024-09-02T16:46:10.893Z,ej1650casa123.bsky.social,Sonia Meneghetti,did:plc:nwhnwjsjvjdxtoxkregxmehk
at://did:plc:j5zcpfarsr7gewdnnrdaeca4/app.bsky.feed.post/3l36qa6sal32x,bafyreie3xsylqux3ogpaqnp7jhkikidqp63s4i2l6ow4kzjqgmvdrq2yly,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo",Cool!,2024-09-02T16:36:49.676Z,0,0,0,2024-09-02T16:36:49.676Z,marcosevergnini.bsky.social,Marco Severgnini,did:plc:j5zcpfarsr7gewdnnrdaeca4
at://did:plc:fdvvzkdbbfhkf4jqttrgsk37/app.bsky.feed.post/3l472fhzijq26,bafyreidht5z4xxs4eb5emoh3agbmzapj3sbbndibfehnou7mnxs2dy5pam,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo","Natália,de que cidade vc é!",2024-09-15T13:03:55.841Z,1,0,0,2024-09-15T13:03:55.841Z,leonel2024.bsky.social,Leonel,did:plc:fdvvzkdbbfhkf4jqttrgsk37
at://did:plc:fdvvzkdbbfhkf4jqttrgsk37/app.bsky.feed.post/3l37j2ntwjh2p,bafyreigpyzwuez5w36ugwzqoiurgl6uzssxa4cwqsvdqnrposjjmowgatm,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l36q53csia2e,"de vez em quando eu entro na outra rede por puro costume, vou é deletar esse app logo","Parabéns Suprema Corte, ninguém está acima da Lei,e devem serem respeitadas",2024-09-03T00:01:10.596Z,0,0,0,2024-09-03T00:01:09.712Z,leonel2024.bsky.social,Leonel,did:plc:fdvvzkdbbfhkf4jqttrgsk37
