reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:x7hjaondnmbd5cvo5zqqgpds/app.bsky.feed.post/3kqgbdsg7ht2f,bafyreignawwxu3sivvfcze3puttb3pco3cb4cs5ikxjrdfqd75kyov5psi,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy5qlx6oo2g,"SEM DINHEIRO PRA FASCISTA!

O Governo @lulaoficial.bsky.social  acaba de suspender TODOS os CONTRATOS de publicidade com o X de Elon Musk.

Você também apoia a decisão do presidente?",👏👏🚩🚩🚩,2024-04-18T16:54:35.724Z,0,0,0,2024-04-18T16:54:35.724Z,crisnunes.bsky.social,Cris🫰🇧🇷♥️🚩🚩lulista,did:plc:x7hjaondnmbd5cvo5zqqgpds
at://did:plc:vzldqstp2wjr7p427ige5k2j/app.bsky.feed.post/3kpzov2kph724,bafyreihh54ky527yh4nc7g7kh2qltekvhfivrmw5h22vzkawcsrihyh7oq,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy5qlx6oo2g,"SEM DINHEIRO PRA FASCISTA!

O Governo @lulaoficial.bsky.social  acaba de suspender TODOS os CONTRATOS de publicidade com o X de Elon Musk.

Você também apoia a decisão do presidente?","Hihihihihi

bsky.app/profile/pino...",2024-04-13T16:52:18.120Z,0,0,0,2024-04-13T16:52:17.813Z,pinoquionews.bsky.social,PINÓQUIO NEWS,did:plc:vzldqstp2wjr7p427ige5k2j
at://did:plc:rfud6co5sggiy5nz7kizfhkd/app.bsky.feed.post/3kpzoad3ait2r,bafyreiakyuivfbmkdlsvspa3chjnegvfhruyn7d4t3v46arn7uwwdx6sym,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy5qlx6oo2g,"SEM DINHEIRO PRA FASCISTA!

O Governo @lulaoficial.bsky.social  acaba de suspender TODOS os CONTRATOS de publicidade com o X de Elon Musk.

Você também apoia a decisão do presidente?","Bacana. Avance mais, seja a primeira Vereadora Lésbica de Florianópolis quezsegye aqueles que te seguem. Empatia gera Empatia. 
✌️😘✌️",2024-04-13T16:40:40.583Z,0,0,0,2024-04-13T16:40:40.583Z,marcellerenat.bsky.social,MarcelleTransGressora,did:plc:rfud6co5sggiy5nz7kizfhkd
at://did:plc:bvgakrkb6lqmlpeifdof3dvp/app.bsky.feed.post/3kpzoske5ri2j,bafyreiaka77dcnrapka4ab2byrjhzgi4yshnlsjqzy5paoaipeysvj2tki,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy5qlx6oo2g,"SEM DINHEIRO PRA FASCISTA!

O Governo @lulaoficial.bsky.social  acaba de suspender TODOS os CONTRATOS de publicidade com o X de Elon Musk.

Você também apoia a decisão do presidente?","Sigo todos de volta 
Juntos somos mais fortes e vamos ser recíprocos.",2024-04-13T16:50:51.367Z,0,0,0,2024-04-13T16:50:51.367Z,mcmaisalto.bsky.social,Mc Mais Alto,did:plc:bvgakrkb6lqmlpeifdof3dvp
at://did:plc:6dvzfv4hi5bs7ankinn46tco/app.bsky.feed.post/3kq2g5ftkdg2c,bafyreiapul7xt2p5c2xy7iwk2qf3ktn3nymtznjrjrtidaymupqlsdnbzq,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy5qlx6oo2g,"SEM DINHEIRO PRA FASCISTA!

O Governo @lulaoficial.bsky.social  acaba de suspender TODOS os CONTRATOS de publicidade com o X de Elon Musk.

Você também apoia a decisão do presidente?","Totalmente, sem apoio a Facista",2024-04-13T23:48:33.297Z,0,0,0,2024-04-13T23:48:33.297Z,porth69.bsky.social,Paulo Batista ,did:plc:6dvzfv4hi5bs7ankinn46tco
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpcw776t2n,bafyreiddklaqqwecd3kfja47ynn5wzfxu7caypf2mnufcgvlwztro2po7m,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpci57pq2w,"Por que penalizar todos os usuários em situação de rua, se apenas uma minoria causa transtornos?
Excluir todas essas pessoas daquele espaço, que foi tão duramente conquistado, é mais uma forma de excluir essa população do convívio social e atentar contra a sua autonomia.","Queremos explicações da Prefeitura sobre qual será a capacidade de fornecimento de alimentos no referido Centro de Convivência, visto que havia cerca de 390 usuários cadastrados no Restaurante Popular, e queremos saber quem ficará responsável pelo fornecimento das refeições.",2024-04-12T21:54:43.212Z,0,3,13,2024-04-12T21:54:43.212Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpci57pq2w,bafyreibbdovpadd4sbgiffopsbegx3u4lbzb36622i57nw4d3gikxqf34y,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpc5y5ig2z,"Durante a reunião ampliada realizada na Câmara Municipal, no dia 15 de março, o diretor-geral do Instituto AMINC, entidade que administra o Restaurante Popular, afirmou que há cerca de 350 pessoas em situação de rua cadastradas e que cerca de 60 geram problemas de convivência.","Por que penalizar todos os usuários em situação de rua, se apenas uma minoria causa transtornos?
Excluir todas essas pessoas daquele espaço, que foi tão duramente conquistado, é mais uma forma de excluir essa população do convívio social e atentar contra a sua autonomia.",2024-04-12T21:54:28.470Z,1,0,2,2024-04-12T21:54:28.470Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpc5y5ig2z,bafyreidjbbko37azdbd6pi2xsmufjv6qiitfmvtyiqezzy2fk2d2cyeiim,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpbxa7pw2v,"De acordo com o jornalista Fábio Gadotti, as refeições para a população em situação de rua serão fornecidas no Centro de Convivência criado na Passarela Nego Quirido. A alegação é a de que essa população causa transtornos nas proximidades do Restaurante Popular.","Durante a reunião ampliada realizada na Câmara Municipal, no dia 15 de março, o diretor-geral do Instituto AMINC, entidade que administra o Restaurante Popular, afirmou que há cerca de 350 pessoas em situação de rua cadastradas e que cerca de 60 geram problemas de convivência.",2024-04-12T21:54:17.817Z,1,0,2,2024-04-12T21:54:17.817Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:xpivqr3sg4ugxm7jefmie4xn/app.bsky.feed.post/3kpyg4rj7z62c,bafyreicd44gxrzlcq7texk7up3hdfw7bwyjapophmekjnb7n4c5d73esha,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpbibwfe2w,"SEGREGAÇÃO: No dia em que empresários lançaram a campanha contra a doação de esmolas na cidade, a Prefeitura de Florianópolis anunciou mais uma medida segregacionista. A partir do final de abril, o Restaurante Popular não vai mais fornecer refeições às pessoas em situação de rua.",SC sendo SC !,2024-04-13T04:42:50.740Z,0,0,0,2024-04-13T04:42:50.740Z,karladmelo.bsky.social,🌈 Karla Melo ,did:plc:xpivqr3sg4ugxm7jefmie4xn
at://did:plc:xgkc52lmtlx4pvmfz7rwsvoe/app.bsky.feed.post/3kpxpggkq2l2a,bafyreigwmmy7nfk6waltfs3n4aual3tk5j25uslze4oyiqyqjfunf5daoa,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpxpbibwfe2w,"SEGREGAÇÃO: No dia em que empresários lançaram a campanha contra a doação de esmolas na cidade, a Prefeitura de Florianópolis anunciou mais uma medida segregacionista. A partir do final de abril, o Restaurante Popular não vai mais fornecer refeições às pessoas em situação de rua.",Como assim? Que absurdo!,2024-04-12T21:56:41.993Z,0,0,0,2024-04-12T21:56:41.313Z,isabelmedeiros.bsky.social,Isabel Medeiros,did:plc:xgkc52lmtlx4pvmfz7rwsvoe
